ID,Branch Name,Tier,Child2017,Teen2017,Adult2017,Child2016,Teen2016,Adult2016,Child2015,Teen2015,Adult2015,Child2014,Teen2014,Adult2014,Child2013,Teen2013,Adult2013,Child2012,Teen2012,Adult2012,Child2011,Teen2011,Adult2011,Child2010,Teen2010,Adult2010
AG,Agincourt,DL,2505,1016,10372,2621,1190,11164,2939,1326,12389,2912,1285,11915,3580,1878,13965,3466,1827,14367,3448,1819,13888,4359,2810,17792
ACD,Albert Campbell,DL,1909,721,5229,1877,762,5436,2031,771,5737,2144,737,5299,2434,1076,6236,2194,996,6598,2256,951,6170,2807,1469,8115
AB,Albion,DL,4356,2190,10894,4028,1589,9746,4302,1657,10173,4120,1433,8810,5599,2236,11369,5481,2178,12450,5472,2129,11188,6564,2968,15065
AD,Alderwood,NL,936,138,2105,940,128,2048,911,153,2056,913,139,1892,980,186,2130,991,202,2069,975,185,2004,1263,258,2497
AP,Amesbury Park,NL,789,272,1895,908,294,2342,956,307,2507,1124,314,2222,1243,443,2497,1131,454,2734,1143,434,2424,1424,549,3101
AN,Annette Street,NL,1134,295,4449,1017,262,4305,968,309,4244,962,212,3667,1135,314,4203,1117,289,4221,1012,266,3632,1246,415,4162
AH,Armour Heights,NL,618,135,2548,592,172,2402,601,152,2401,557,148,2237,630,164,2334,623,162,2299,676,176,2213,784,191,2355
BF,Barbara Frum,DL,2121,779,7732,2103,853,7756,2253,928,8128,2119,864,7247,2561,1283,8221,2710,1483,8824,2453,1503,8015,3432,1472,10411
BY,Bayview,NL,1543,473,7698,1353,447,7028,1315,482,6658,1218,425,6530,1414,570,7089,1189,475,6376,1090,485,5657,1321,601,6053
BE,Beaches,NL,1290,251,7189,1363,286,7488,1264,274,7724,1163,254,6865,1611,398,7875,1594,338,8226,1615,352,7426,2323,597,9437
BD,Bendale,NL,915,313,2532,1057,329,2651,1119,333,2749,1018,284,2459,1288,401,2947,1279,395,3001,1390,366,2821,1646,453,3894
BC,Black Creek,NL,898,326,2663,942,376,2772,1026,339,3064,954,309,2700,1219,452,3202,1174,470,3728,1127,412,3295,1580,588,4484
BL,Bloor Gladstone,DL,1508,698,10020,1520,605,9750,1626,604,9476,1564,551,7979,1757,617,8470,1586,514,7806,1630,452,6683,1846,718,7517
BR,Brentwood,DL,1793,549,7781,1679,648,7075,1556,538,6766,1495,535,6281,2066,827,6609,1573,585,5087,1224,420,4261,2628,1221,7359
BRW,Bridlewood,NL,1441,578,6385,1442,590,6444,1443,633,6691,1446,610,6575,1799,881,7322,1727,920,7429,1831,938,7382,2174,1210,7986
BB,Brookbanks,NL,971,325,2757,1045,359,2721,1052,396,2766,871,361,2462,1124,538,2828,1026,496,2931,1074,462,2753,1391,776,3404
BUR,Burrows Hall,NL,927,399,2837,1040,443,2985,1103,435,3150,1138,407,2906,1476,570,3521,1354,542,3540,1366,495,3301,1838,779,4474
CED,Cedarbrae,DL,3540,1484,10340,3916,1594,10599,4024,1666,10928,3626,1541,10110,4460,2153,11552,4471,2145,12002,4575,1972,11470,4045,2395,10120
CE,Centennial,NL,1181,571,5304,1061,565,5007,1200,582,4975,1008,494,4536,1437,663,5198,1257,615,5199,1231,641,4790,1605,815,5810
CH,City Hall,NL,429,59,9343,409,57,9371,366,47,8770,379,46,8285,439,60,8737,368,44,8403,379,59,8533,332,69,6507
CC,Cliffcrest,NL,746,293,2609,798,305,2726,749,317,2785,735,316,2613,1005,461,3058,991,393,3204,977,408,3021,1255,590,3557
CS,College Shaw,NL,678,138,4496,743,144,4386,772,141,4706,828,125,4132,1007,207,4837,997,235,5070,938,236,4664,1248,369,6096
DA,Danforth Coxwell,NL,1176,359,5347,1177,389,5612,1232,397,5844,1150,406,5262,1392,562,5895,1261,507,6104,1297,448,5504,1768,786,6955
DT,Davenport,NL,420,78,1781,415,86,1755,387,87,1686,389,88,1581,519,147,1768,509,117,1815,527,138,1685,631,186,1911
DR,Dawes Road,NL,1509,382,3387,1591,433,3502,1634,389,3566,1473,355,3107,1751,540,3775,1626,514,3878,1626,470,3565,2018,712,4513
DP,Deer Park,NL,738,183,8094,703,187,8187,698,189,8160,677,141,7540,814,236,8481,826,217,8526,747,234,8123,1028,341,9794
DM,Don Mills,DL,1801,663,7741,1965,721,7965,2017,678,8258,1730,676,7528,2079,964,8492,2055,878,8726,2085,867,8308,2670,1326,10262
DO,Downsview,NL,1404,541,4747,1294,644,4635,1382,724,5088,1481,617,4389,1991,804,5321,1773,762,5614,1934,707,4999,2500,1029,7106
DU,Dufferin St. Clair,NL,764,278,3278,737,324,3324,806,297,3464,780,267,2854,1030,414,3288,932,339,3346,972,360,2797,1250,597,3630
EA,Eatonville,NL,2273,747,9578,2295,743,9514,2222,746,9408,2097,708,8538,2496,1068,9320,2458,893,9512,2467,883,9039,3254,1439,11298
ES,Eglinton Square,NL,897,314,4112,733,311,3980,960,436,5014,962,383,4745,1170,501,5389,1076,496,5600,1112,463,5336,1398,579,6363
EB,Elmbrook Park,NL,551,243,1776,544,225,1833,610,252,1794,563,259,1679,630,311,1791,641,271,1747,647,245,1658,825,381,1914
EG,Evelyn Gregory,NL,594,237,1309,626,250,1311,640,260,1428,686,270,1279,778,405,1396,823,359,1465,782,349,1267,1219,618,1722
FV,Fairview,DL,3184,1437,15229,3149,1420,15232,3321,1492,15574,2966,1272,13090,2544,1547,11320,3643,1974,16789,3909,1994,17166,4936,3130,21944
FP,Flemingdon Park,NL,1073,433,2642,1259,465,2761,1344,494,3015,1188,465,2710,1712,794,3367,1548,732,3437,1455,590,3068,2054,777,4001
FH,Forest Hill,NL,919,339,3658,877,369,3681,977,389,3797,849,286,3484,1076,446,3962,1132,477,4085,1109,382,3750,1486,824,4796
FO,Fort York,NL,808,83,8981,611,60,7762,617,63,6741,512,53,4129,,,,,,,,,,,,
GE,Gerrard Ashdale,NL,824,170,2952,746,141,2819,742,142,2809,711,143,2453,802,228,2617,795,223,2753,759,231,2512,887,346,3042
GHP,Goldhawk Park,NL,1103,347,2809,1189,393,2866,1140,423,2953,1211,417,2934,1372,572,3343,1363,566,3468,1353,554,3566,1647,736,4245
GW,Guildwood,NL,461,148,2045,467,166,2079,459,145,2153,430,137,2004,481,209,2229,452,210,2239,471,191,2115,552,264,2451
HP,High Park,NL,1164,240,5686,1101,219,5588,1101,257,5588,1076,236,5017,1272,315,5566,1153,281,5611,1173,282,5084,1561,401,6568
