ID,Branch Name,Tier,2017,2016,2015,2014
AG,Agincourt ,DL ,138549,138204,136495,152189
ACD,Albert Campbell ,DL,102733,101963,102386,103106
AB,Albion,DL,103032,107338,107276,116372
AD,Alderwood,NL,41092,41265,42026,42220
AP,Amesbury Park,NL,30537,31094,32970,32992
AN,Annette Street,NL,31850,32442,32052,31063
AH,Armour Heights,NL,26231,27234,26444,27106
BF,Barbara Frum,DL ,121733,128496,124818,128094
BY,Bayview,NL,52280,49531,51178,50556
BE,Beaches,NL,44621,44623,44750,45955
BD,Bendale,NL,30260,29782,29222,32635
BC,Black Creek,NL,31415,31671,32525,33860
BL,Bloor Gladstone,DL ,75422,72565,73954,78297
BR,Brentwood,DL ,79626,78973,76766,80307
BRW,Bridlewood,NL,52049,56292,56502,62310
BB,Brookbanks,NL,41424,43287,43218,44408
BUR,Burrows Hall,NL,43702,43552,42710,46904
CED,Cedarbrae,DL ,122183,123730,122564,123731
CE,Centennial,NL,43981,41139,40644,43266
CH,City Hall,NL,34369,32262,31990,32425
CC,Cliffcrest,NL,27185,26940,28011,29030
CS,College Shaw,NL,26688,27555,29816,30051
DA,Danforth Coxwell,NL,43256,43336,43156,46286
DT,Davenport,NL,11347,11116,11071,11718
DR,Dawes Road,NL,44953,45095,42398,51646
DP,Deer Park,NL,65669,64556,69844,72613
DM,Don Mills,DL ,118737,118064,114559,115216
DO,Downsview,NL,79203,79752,81619,82227
DU,Dufferin St. Clair,NL,34965,35313,35192,38638
EA,Eatonville,NL,69882,67141,67429,68977
ES,Eglinton Square,NL,39374,38211,38400,38780
EB,Elmbrook Park,NL,30758,29537,28445,29311
EG,Evelyn Gregory,NL,36118,37328,37550,37672
FV,Fairview,DL ,195858,193506,200841,219826
FP,Flemingdon Park,NL,37039,36664,36542,37208
FH,Forest Hill,NL,41391,43391,44350,45130
FO,Fort York,NL,43805,44829,41881,35376
GE,Gerrard Ashdale,NL,39118,37420,37635,40826
GHP,Goldhawk Park,NL,46576,43644,42376,43326
GW,Guildwood,NL,30399,29710,30083,29881
HP,High Park,NL,44476,44031,43977,46745
HC,Highland Creek,NL,37700,38904,37587,40546
HIL,Hillcrest,NL,47256,46257,46128,46881
HB,Humber Bay,NL,22345,21677,21780,23857
HS,Humber Summit,NL,20192,17082,20257,22724
HW,Humberwood,NL,34303,34978,36502,39945
JD,Jane Dundas,NL,51695,53645,53427,55348
JS,Jane Sheppard,NL,32000,31994,31570,33896
JO,Jones,NL,26902,25908,27975,29724
KE,Kennedy Eglinton,NL,32184,30696,31660,32752
LE,Leaside,NL,48940,46700,48855,55091
LHS,Lillian H. Smith,DL ,89075,92998,103596,107182
LO,Locke,NL,65865,63877,65619,68102
LB,Long Branch,NL,34890,34765,34885,34309
MA,Main Street,NL,41639,41658,40455,41440
MAL,Malvern,DL ,129906,126566,129259,132514
MAS,Maria A. Shchuka,DL ,88822,87217,91360,96601
MRV,Maryvale,NL,39862,43198,45323,49899
MCG,McGregor Park,NL,40716,39439,38891,39951
MI,Mimico Centennial,NL,38646,40929,46091,49909
MS,Morningside,NL,43597,42291,42531,42946
MD,Mount Dennis,NL,39486,41230,40855,40307
MP,Mount Pleasant,NL,21878,21253,21091,21790
NT,New Toronto,NL,37993,37416,40227,40747
NYCL,North York Central,RR,582810,554851,658678,655631
ND,Northern District,DL ,112640,110653,110759,125597
NE,Northern Elms,NL,24461,24116,24241,25978
OV,Oakwood Village Library and Arts Centre,NL,36782,35323,36207,36083
PM,Palmerston,NL,32059,33660,33790,33551
PA,Pape Danforth,DL ,57716,56772,55022,57394
PK,Parkdale,NL,72343,69830,71277,73616
PL,Parliament Street,NL,53108,52298,55797,58895
PE,Perth Dupont,NL,17374,18056,18063,18976
PV,Pleasant View,NL,33745,31815,31672,31030
PU,Port Union,NL,34654,35455,34883,35979
QS,Queen Saulter,NL,21435,21817,21570,21619
RX,Rexdale,NL,27935,28675,30512,30180
RI,Richview,DL ,141258,140093,147766,156662
RD,Riverdale,NL,55453,54360,55520,58419
RN,Runnymede,NL,51898,52513,53370,58286
SWS,S. Walter Stewart,DL ,94934,96431,94832,96127
SA,Sanderson,NL,47012,45820,46400,49387
SC,Scarborough Civic Centre,NL,57086,54730,48170,28527
SP,Spadina Road,NL,29911,29931,30448,32751
SI,St. Clair Silverthorn,NL,13875,14376,15093,15452
SJ,St. James Town,NL,51860,49379,50673,52878
SL,St. Lawrence,NL,29193,28119,28559,28597
ST,Steeles,NL,42098,40842,44009,44344
SW,Swansea Memorial,NL,7894,9027,9049,9019
TA,Taylor Memorial,NL,27467,27310,28404,27998
TH,Thorncliffe,NL,48042,47346,46652,46444
TOD,Todmorden Room,NL,8318,8213,8132,7844
TRL,Toronto Reference Library,RR,1862614,1884833,1832663,1820279
VV,Victoria Village,NL,26570,25712,27319,27180
WE,Weston,NL,42655,42492,42815,43909
WS,Woodside Square,NL,56950,54856,56072,56896
WP,Woodview Park,NL,19090,19824,19377,20889
WY,Wychwood,NL,37225,38844,39114,39892
YW,York Woods,DL,100499,104932,105938,105126
YO,Yorkville,NL,56219,55269,54247,63434
