ID,Branch,Tier,MondayOH,TuesdayOH,WednesdayOH,ThursdayOH,FridayOH,SaturdayOH,SundayOH,MondayDH,TuesdayDH,WednesdayDH,ThursdayDH,FridayDH,SaturdayDH,SundayDH
AG,Agincourt,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
ACD,Albert Campbell,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
AB,Albion,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
AD,Alderwood,NL,10-8:30,10:00 - 6:00,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,
AP,Amesbury Park,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
AN,Annette Street,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,
AH,Armour Heights,NL,Closed,10:00 - 6:00,12:30-8:30,10:00 - 6:00,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
BF,Barbara Frum,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
BY,Bayview,NL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,,11.5,11.5,11.5,11.5,11.5,8,
BE,Beaches,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,
BD,Bendale,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
BC,Black Creek,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
BL,Bloor/Gladstone,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
BR,Brentwood,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
BRW,Bridlewood,NL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
BB,Brookbanks,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
BUR,Burrows Hall,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,,8,8,8,8,8,3.5
CED,Cedarbrae,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
CE,Centennial,NL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
CH,City Hall,NL,10:00 - 6:00,10:00 - 6:00,10:00 - 6:00,10:00 - 6:00,10:00 - 6:00,Closed,,8,8,8,8,8,,
CC,Cliffcrest,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
CS,College/Shaw,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,
DA,Danforth/Coxwell,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,
DT,Davenport,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
DR,Dawes Road,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,
DP,Deer Park,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,
DM,Don Mills,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
DO,Downsview,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5
DU,Dufferin/St. Clair,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,
EA,Eatonville,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5
ES,Eglinton Square,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5
EB,Elmbrook Park,NL,Closed,10:00 - 6:00,12:30-8:30,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
EG,Evelyn Gregory,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,
FV,Fairview,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
FP,Flemingdon Park,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,,8,8,8,8,8,3.5
FH,Forest Hill,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,
FO,Fort York,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5
GE,Gerrard/Ashdale,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,
GHP,Goldhawk Park,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5
GW,Guildwood,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
HP,High Park,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,
HC,Highland Creek,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
HIL,Hillcrest,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
HB,Humber Bay,NL,Closed,10:00 - 6:00,12:30-8:30,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
HS,Humber Summit,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
HW,Humberwood,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
JD,Jane/Dundas,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5
JS,Jane/Sheppard,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,
JO,Jones,NL,10:00 - 6:00,10-8:30,12:30-8:30,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,8,10.5,8,8,8,8,
KE,Kennedy/Eglinton,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
LE,Leaside,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,
LHS,Lillian H. Smith,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
LO,Locke,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,
LB,Long Branch,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
MA,Main Street,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,
MAL,Malvern,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
MAS,Maria A. Shchuka,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
MRV,Maryvale,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,
MCG,McGregor Park,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,,8,8,8,8,8,3.5
MI,Mimico Centennial,NL,Closed,12:30-8:30,12:30-8:30,10:00 - 6:00,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
MS,Morningside,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5
MD,Mount Dennis,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,10.5,8,8,8,8,8,3.5
MP,Mount Pleasant,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
NT,New Toronto,NL,Closed,10:00 - 6:00,12:30-8:30,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,,8,8,8,8,8,3.5
ND,Northern District,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
NE,Northern Elms,NL,Closed,12:30-8:30,12:30-8:30,10:00 - 6:00,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
OV,Oakwood Village Library and Arts Centre,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,
PM,Palmerston,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,
PA,Pape/Danforth,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
PK,Parkdale,NL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
PL,Parliament Street,NL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
PE,Perth/Dupont,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
PV,Pleasant View,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
PU,Port Union,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,
QS,Queen/Saulter,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
RX,Rexdale,NL,Closed,10:00 - 6:00,12:30-8:30,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
RI,Richview,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
RD,Riverdale,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,
RN,Runnymede,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5
SWS,S. Walter Stewart,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
SA,Sanderson,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5
SC,Scarborough Civic Centre,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5
SP,Spadina Road,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
SI,St. Clair/Silverthorn,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
SJ,St. James Town,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,,8,8,8,8,8,3.5
SL,St. Lawrence,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,
ST,Steeles,NL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
SW,Swansea Memorial,NL,Closed,10-12/1-6,1:00 - 8:00,10-12/1-6,Closed,10:00 - 5:00,,,7,7,7,,7,
TA,Taylor Memorial,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
TH,Thorncliffe,NL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
TOD,Todmorden Room,NL,Closed,12:30-5/6-8:30,9-12/1-5,12:30-5/6-8:30,Closed,9-12/1-5,,,7,7,7,,7,
VV,Victoria Village,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
WE,Weston,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,10.5,8,8,8,8,8,3.5
WS,Woodside Square,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,
WP,Woodview Park,NL,Closed,10:00 - 6:00,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,
WY,Wychwood,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,
YW,York Woods,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
YO,Yorkville,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,
TRL,Toronto Reference Library,RR,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
NYCL,North York Central Library,RR,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5
