ID,Branch Name,Tier,2017,2016,2015,2014,2013,2012,2011,2010
AG,Agincourt,DL,21303,27682,30937,33016,32568,36622,36856,38632
ACD,Albert Campbell,DL,12015,14854,15843,16548,16435,18360,18209,18564
AB,Albion,DL,27020,31315,33473,35168,35877,40573,39760,40018
AD,Alderwood,NL,4361,5032,5193,5260,5171,5738,5706,5746
AP,Amesbury Park,NL,5058,7157,7553,7943,7611,8336,8044,8037
AN,Annette Street,NL,8212,9091,9178,9068,8849,9624,8985,8424
AH,Armour Heights,NL,4511,5038,5106,5082,4808,5021,4895,4714
BF,Barbara Frum,DL,15653,18894,19842,20713,20661,23387,22799,22823
BY,Bayview,NL,13650,14626,14816,14657,13818,13513,12325,12019
BE,Beaches,NL,12577,15123,15799,16205,16033,17996,17738,18130
BD,Bendale,NL,5961,7393,7855,8053,8010,8978,9015,9107
BC,Black Creek,NL,6628,8417,9036,9486,9372,10687,10527,11053
BL,Bloor Gladstone,DL,18190,20921,20641,19442,17774,18111,15711,13054
BR,Brentwood,DL,14047,15055,15160,14549,13015,13878,14493,17057
BRW,Bridlewood,NL,12638,15339,16053,16649,16794,17975,17782,17998
BB,Brookbanks,NL,6031,7155,7495,7501,7363,8176,8137,8270
BUR,Burrows Hall,NL,6486,8258,9018,9508,9419,10606,10418,10750
CED,Cedarbrae,DL,24777,30706,31905,32556,32309,33740,30031,28166
CE,Centennial,NL,10518,12031,12573,12481,12233,13163,12718,12760
CH,City Hall,NL,13731,15519,15210,15120,14846,15074,14636,10378
CC,Cliffcrest,NL,5588,6746,7245,7625,7555,8221,8122,8212
CS,College Shaw,NL,7506,9085,9601,9993,9815,10993,10916,11267
DA,Danforth Coxwell,NL,9799,11738,12371,12520,12182,13601,13293,13570
DT,Davenport,NL,3193,3507,3615,3717,3671,4017,3988,3812
DR,Dawes Road,NL,8307,10074,10432,10496,10312,11230,11067,11110
DP,Deer Park,NL,12550,14637,15158,15370,15306,16678,16416,16850
DM,Don Mills,DL,14741,17659,18330,18614,18610,20621,20596,21248
DO,Downsview,NL,10698,13364,14455,14810,14647,16588,16553,17319
DU,Dufferin St. Clair,NL,6591,8024,8366,8424,8068,8823,8466,8079
EA,Eatonville,NL,18399,21493,21916,22091,21694,24450,24463,24901
ES,Eglinton Square,NL,8138,10232,11744,12031,11968,12858,12818,13340
EB,Elmbrook Park,NL,3620,4265,4379,4337,4143,4517,4514,4438
EG,Evelyn Gregory,NL,3498,4472,4771,4951,4658,5436,5346,5572
FV,Fairview,DL,30129,35445,34132,34659,34024,44599,45655,47265
FP,Flemingdon Park,NL,6720,8616,9540,10036,9986,10904,10446,10559
FH,Forest Hill,NL,7016,8463,8970,9185,9086,10409,10329,10588
FO,Fort York,NL,13886,13366,9582,5027,,,,
GE,Gerrard Ashdale,NL,5431,6070,6053,6077,5880,6429,6276,6236
GHP,Goldhawk Park,NL,6371,7791,8306,8734,8799,9750,9861,10158
GW,Guildwood,NL,3741,4423,4568,4607,4440,4800,4750,4684
HP,High Park,NL,9728,11056,11266,11312,10992,12212,12084,12086
HC,Highland Creek,NL,5866,7212,7768,8020,7922,8623,8338,8075
HIL,Hillcrest,NL,8392,9606,10089,10260,9998,9991,9465,9235
HB,Humber Bay,NL,5074,5624,5517,5424,5109,5198,4867,4501
HS,Humber Summit,NL,2796,3902,4367,4580,4503,4860,4630,4801
HW,Humberwood,NL,3742,4463,4650,4722,4670,5391,5272,5278
JD,Jane Dundas,NL,10640,13299,14968,15313,14921,13263,11984,10147
JS,Jane Sheppard,NL,6237,7850,8375,8375,7992,8269,7971,7726
JO,Jones,NL,5326,6081,5990,5879,5610,6115,5993,5858
KE,Kennedy Eglinton,NL,9002,10765,11196,11107,10692,11045,10242,9953
LE,Leaside,NL,10119,11324,11623,11769,11536,12498,12351,12572
LHS,Lillian H. Smith,DL,16164,20647,21614,22172,21938,24294,23815,24417
LO,Locke,NL,12344,13935,14631,14972,14897,16514,16279,16476
LB,Long Branch,NL,4432,5442,5600,5658,5342,5995,5801,5791
MA,Main Street,NL,7563,8602,8843,8996,8877,9890,9461,9403
MAL,Malvern,DL,17856,22967,25396,27010,26912,30662,30488,31111
MAS,Maria A. Shchuka,DL,10783,13942,14579,14783,14211,15816,15404,15832
MRV,Maryvale,NL,7615,9294,9606,9767,9705,10655,10617,11038
MCG,McGregor Park,NL,8980,10985,11715,12004,11912,13284,13357,13668
MI,Mimico Centennial,NL,6627,7587,7792,7796,7519,8172,7650,7414
MS,Morningside,NL,7788,9748,10224,10601,10303,11466,11129,11399
MD,Mount Dennis,NL,5078,6001,6134,5750,5342,5838,6401,6834
MP,Mount Pleasant,NL,4562,5092,5123,5087,4834,4860,4660,4471
NT,New Toronto,NL,4414,5222,5416,5551,5492,6077,5907,5775
ND,Northern District,DL,18329,20707,20884,21471,20888,22698,22028,22556
NE,Northern Elms,NL,2742,3320,3611,3802,3783,4213,4117,4220
OV,Oakwood Village Library and Arts Centre,NL,4611,5508,5775,5971,5665,6156,5842,5745
PM,Palmerston,NL,6807,8239,8609,8689,8439,9238,9093,8975
PA,Pape Danforth,DL,13711,16032,16397,16612,15970,17008,16693,16620
PK,Parkdale,NL,13873,16622,17293,17493,16889,19010,18412,19121
