ID,Branch Name,Tier,2017,2016,2015,2014,2013,2012,2011,2010
AG,Agincourt,DL,134674.5,103406,158535.5,166022.5,180671.5,140407,170848.5,174233
ACD,Albert Campbell,DL,150308,149711.5,145983.5,149897.5,133591,131352.5,126132,120739
AB,Albion,DL,137999,140605.5,142186.5,142159,139401.5,132024,127152.5,123789.5
AD,Alderwood,NL,15212.5,16337.5,16700,16500,16237.5,16279,14362.5,15562.5
AP,Amesbury Park,NL,7439,16562.5,16300,18550,17787.5,18960.5,19662.5,21450
AN,Annette Street,NL,37370,29237.5,34037.5,28629,30395.5,36663,36437.5,43737.5
AH,Armour Heights,NL,11225,10987.5,11012.5,11800,11250,11894.5,10962.5,10887.5
BF,Barbara Frum,DL,132867.5,121862.5,131127,120550.5,112745,101666,94876.5,100122
BY,Bayview,NL,29604,23800,19505,23452,25243,21394,19762.5,16812.5
BE,Beaches,NL,40875,45825,48525,41962.5,46487.5,45165,47375,46950
BD,Bendale,NL,18675,18087.5,21100,20537.5,22292.5,19910.5,21012.5,36739.5
BC,Black Creek,NL,19912.5,21762.5,24412.5,24600,21560,25754.5,25537.5,28400
BL,Bloor Gladstone,DL,171812.5,168192.5,179858.5,174628.5,171159.5,177112,185627,178810.5
BR,Brentwood,DL,86113,84596,84937,83068.5,84402.5,8276,0,52398.5
BRW,Bridlewood,NL,43341,40137.5,41462.5,42087.5,43375,41350,40505.5,41037.5
BB,Brookbanks,NL,16112.5,19712.5,19700,26262.5,22950,19783.5,23050,23537.5
BUR,Burrows Hall,NL,20937.5,24950,28462.5,28275,27562.5,25884.5,28237.5,32262.5
CED,Cedarbrae,DL,197151,249984,243984,258187.5,260191,240834,234075,8298
CE,Centennial,NL,35950,28212.5,27187.5,26025,29350,28740,27950,23925
CH,City Hall,NL,33700,30937.5,29787.5,29987.5,31225,30060.5,31500,27175
CC,Cliffcrest,NL,16187.5,19412.5,18637.5,18737.5,17750,18786,21012.5,20925
CS,College Shaw,NL,20362.5,21812.5,21187.5,21662.5,21562.5,22639.5,22250,22437.5
DA,Danforth Coxwell,NL,36600,37150,37125,38850,39137.5,35962,34650,32487.5
DT,Davenport,NL,6100,6112.5,6687.5,7150,7000,6191.5,5162.5,7787.5
DR,Dawes Road,NL,45450,46687.5,43475,49650,49087.5,48770,52375,48250
DP,Deer Park,NL,54350,59512.5,60137.5,54987.5,52062.5,40648,42487.5,41500.5
DM,Don Mills,DL,90242.5,88065.5,86525,85624,81803.5,75423.5,75993.5,88706.5
DO,Downsview,NL,99706.5,113700.5,109769.5,118894,120176,103226.5,104639.5,107228
DU,Dufferin St. Clair,NL,49487.5,51225,54700,59312.5,63350,54256,60712.5,67950
EA,Eatonville,NL,43683,45769.5,46632.5,47626,43594,48329,47678.5,48774.5
ES,Eglinton Square,NL,24087.5,18675,37650,37062.5,39200,34997,34312.5,30350
EB,Elmbrook Park,NL,7175,7325,6850,6537.5,7575,8450.5,8425,8575
EG,Evelyn Gregory,NL,25887.5,30325,34325,33350,29787.5,30366.5,31312.5,30737.5
FV,Fairview,DL,215655.5,224402,232296.5,167960.5,0,164649,242600,219215.5
FP,Flemingdon Park,NL,39265.5,49910,50387.5,51996.5,59210.5,55770.5,50459.5,51036.5
FH,Forest Hill,NL,21500,20350,21600,20287.5,19987.5,20652,22050,22087.5
FO,Fort York,NL,47161.5,48087.5,49512.5,24150,,,,
GE,Gerrard Ashdale,NL,24037.5,23825,25862.5,23425,21887.5,21810.5,25325,25275
GHP,Goldhawk Park,NL,39669.5,45801.5,49572,50442,48736,46659.5,47150.5,41988
GW,Guildwood,NL,11087.5,12000,12600,12137.5,12550,11027,13050,13554
HP,High Park,NL,41912.5,39725,43475,44950,41600,39305.5,41262.5,40987.5
HC,Highland Creek,NL,19175,19237.5,21837.5,24712.5,22512.5,23497,23750,20850
HIL,Hillcrest,NL,27575,29012.5,31550,31087.5,55275,32985.5,29312.5,33137.5
HB,Humber Bay,NL,8037.5,8825,8725,8900,8675,8441,8025,6525
HS,Humber Summit,NL,7225,21487.5,27700,31212.5,30800,31762.5,30312.5,28775
HW,Humberwood,NL,16050,18000,21575,34175,36037.5,31204.5,31287.5,28250
JD,Jane Dundas,NL,63875,64400,64375,71412.5,75575,71572.5,74650,72175
JS,Jane Sheppard,NL,39475,47725,48325,48762.5,48987.5,46352,62100,51437.5
JO,Jones,NL,21487.5,23287.5,25887.5,28862.5,28675,30752.5,27837.5,29675
KE,Kennedy Eglinton,NL,39175,36150,37925,39187.5,38200,38399,41462.5,42012.5
LE,Leaside,NL,25312.5,24487.5,25912.5,23925,27025,25308,28850,26462.5
LHS,Lillian H. Smith,DL,111803,165859,176522,183538.5,189214.5,188317.5,184756.5,155693.5
LO,Locke,NL,46139.5,47125,42075,40625,40425,42569.5,44550,47800
LB,Long Branch,NL,19427,24787.5,25550,22362.5,26575,26643,27900,28775
MA,Main Street,NL,32700,35812.5,35975,38512.5,39547.5,35880.5,40575,39000
MAL,Malvern,DL,158549.5,167069,170306.5,175932,181120,165135.5,152230,140091
MAS,Maria A. Shchuka,DL,121564,142462,135937,128614.5,111378.5,132310,143990.5,123628.5
MRV,Maryvale,NL,33900,34312.5,32937.5,30650,30712.5,31081,31875,32875
MCG,McGregor Park,NL,36806.5,37741,42142,44396,44722.5,39796.5,43100.5,40042
MI,Mimico Centennial,NL,24662.5,23175,21475,22058,21054.5,17454,19150,18312.5
MS,Morningside,NL,39487.5,41987.5,42362.5,41362.5,39950,34166,37975,39312.5
MD,Mount Dennis,NL,53466,55175,55912.5,64537.5,44575,0,25133,30075
MP,Mount Pleasant,NL,5737.5,6250,6137.5,5612.5,5675,5328,5200,4937.5
NT,New Toronto,NL,23478,22585,22852.5,23048.5,22371.5,26429.5,26277,23532.5
ND,Northern District,DL,120673,117079.5,112234.5,106576.5,117776.5,127600,103813,52507
